醫事機構代碼,醫事機構名稱,電話,地址,TGOS X,TGOS Y
5901012409,家音藥局,02 -37652080,台北市松山區民生東路5段73號,121.558489,25.058709
5901012454,敦北藥局,02 -27155691,台北市松山區民生東路4段80巷5號,121.553125,25.057129
5901012490,中美藥局,02 -27627468,台北市松山區富錦街531號,121.565481,25.061285
5901012507,康麗藥局,02 -27174117,台北市松山區南京東路3段303巷20號,121.546826,25.05369
5901012516,惠登藥局,02 -25472432,台北市松山區民生東路3段130巷34號,121.54611299999999,25.056198000000002
5901012561,松田藥局,02 -25798005,台北市松山區延吉街9－6號,121.55355,25.047007
5901012570,予志藥局,02 -27623522,台北市松山區富錦街521號,121.564944,25.061186
5901012598,婕登藥局,02 -27482893,台北市松山區八德路4段699號,121.57664399999999,25.050207
5901012632,晨安藥局,02 -25798460,台北市松山區八德路3段155巷20弄2號,121.55532600000001,25.049136999999998
5901012650,銘德藥局,02 -27511833,台北市松山區八德路2段366巷28號,121.545925,25.047242
5901012669,政昇藥局,02 -27560286,台北市松山區南京東路5段356號13樓,121.56969099999999,25.051063
5901012712,立康大藥局,02 -27471749,台北市松山區八德路四段2－1號,121.55811100000001,25.048117
5901012749,躍獅松和藥局,02 -27492569,台北市松山區八德路四段666－1號,121.57609199999999,25.049789999999998
5901012758,京東藥局,02 -27679503,台北市松山區南京東路五段272號,121.56694499999999,25.05114
5901012767,晨新藥局,02 -27422951,台北市松山區八德路4段91巷1－1號,121.56076100000001,25.048944
5901012918,躍獅京華藥局,02 -27666508,台北市松山區南京東路5段71號,121.55956200000001,25.051714999999998
5901012963,綠之家藥局,02 -25289595,台北市松山區延壽街428號,121.55621699999999,25.056197
5901013004,德安藥局,02 -25782670,台北市松山區八德路3段195號2樓,121.55618999999999,25.048163
5901150280,慈航藥局,02 -28815988,台北市士林區文林路441號,121.524569,25.094807
5901150342,士林三安藥局,02 -28812631,台北市士林區大南路11號,121.526009,25.088981
5901150351,啟宏藥局,02 -28825811,台北市士林區大東路90－1號1樓,121.525628,25.091459
5901150397,博惠藥局,02 -28320379,台北巿士林區華榮街16號,121.5236009,25.095509600000003
5901150459,有德堂大藥局,02 -28318387,台北市士林區中山北路6段227號,121.52511499999999,25.108884
5901150468,太安藥局,02 -28111468,台北市士林區延平北路5段157號,121.51013,25.082512
5901150511,三原藥局,02 -28111888,台北市士林區延平北路5段293號,121.50940700000001,25.085898999999998
5901150548,田倉藥局,02 -88662188,台北市士林區士東路124號,121.53015800000001,25.112192999999998
5901150575,日康藥局,02 -28358558,台北市士林區士東路12號1樓,121.52673700000001,25.111678
5901150593,安寧藥局,02 -28803319,台北市士林區劍潭路91號,121.51990900000001,25.082846
5901101161,晏晟藥局,02 -25851445,台北市中山區林森北路625號,121.52585900000001,25.067034
5901101205,大直藥局,02 -25320522,台北市中山區北安路617號1樓,121.54883799999999,25.082728
5901101250,美日藥局,02 -25631662,台北市中山區天津街66號1樓,121.523274,25.051364000000003
5901101278,人人藥局,02 -25630789,台北市中山區吉林路267號1樓,121.53039799999999,25.062089999999998
5901101321,文德藥局,02 -25181178,台北市中山區龍江路356巷19號1樓,121.54008799999998,25.066075
5901101509,永直藥局,02 -85098059,台北市中山區北安路595巷2弄6號,121.548295,25.081926
5901101536,展佑藥局,02 -25232803,台北市中山區長春路146－1號,121.53171100000002,25.054728
5901101607,蓁榛健康生活藥局,02 -25099333,台北市中山區合江街100－2號1樓,121.53911000000001,25.058454
5901101625,中崙藥局,02 -27114971,台北市中山區八德路2段307號,121.542608,25.047362
5901101652,祥泰藥局,02 -25313097,台北市中山區林森北路136號,121.52508700000001,25.051419
5901011699,建東大藥局,02 -27676237,台北市松山區三民路97號1樓,121.56339799999999,25.057235000000002
5901011733,和諧藥局,02 -27568580,台北市松山區民生東路5段148號2樓,121.562151,25.058494
5901011751,德恩藥師藥局,02 -27782829,台北市松山區八德路2段378號1樓,121.54614199999999,25.047971
5901011760,延壽藥局,02 -27685159,台北市松山區延壽街327號,121.560363,25.056786
5901011975,萬泰藥局,02 -27135891,台北市松山區敦化北路222巷38號,121.547103,25.059943
5901012203,博荃藥局,02 -27316736,台北市松山區敦化北路4巷51號,121.544742,25.050063
5901012383,德川中西藥局,02 -27683399,台北市松山區八德路4段96號,121.56066000000001,25.04836
5901023831,康乃馨藥局,02 -23257097,台北市大安區建國南路1段327號,121.538211,25.034806
5901023886,世康藥局,02 -27015758,台北市大安區延吉街246號,121.555605,25.035492
5901023902,惠良藥局,02 -27387872,台北市大安區和平東路3段93－1號,121.550727,25.024615
5901023966,愛維康生活藥局,02 -27059791,台北市大安區四維路170巷21號,121.54703400000001,25.028317
5901024007,古亭健康人生藥局,02 -23660895,台北市大安區羅斯福路2段83號,121.52369099999999,25.025723
5901024098,杏一瑞安藥局,02 -27096710,台北市大安區瑞安街208巷11弄1號,121.54064699999999,25.028661
5901024114,好安心藥局,02 -23772166,台北市大安區和平東路2段98之2號,121.541503,25.024932
5901024123,中山樂方藥局,02 -27050622,台北市大安區仁愛路4段112巷12號,121.54957900000001,25.036422
5901024178,天康忠孝藥局,02 -77137763,台北市大安區忠孝東路3段223－1號,121.54003600000001,25.041856
5901100440,優豐藥局,02 -25602565,台北市中山區民生東路1段32號,121.52422299999999,25.057935
5901100495,能康藥局,02 -25429426,台北市中山區長春路46號,121.52562900000001,25.054818
5901100628,貢玄藥局,02 -25637847,台北市中山區錦州街207號,121.53196299999999,25.060394
5901100664,阿里藥局,02 -25020638,台北市中山區錦州街251號,121.534194,25.060392999999998
5901100717,榮昌藥局,02 -25964593,台北市中山區雙城街17－3號,121.52441499999999,25.064631
5901100735,華友藥局,02 -25007159,台北市中山區龍江路356巷27號－1,121.53986200000001,25.066076000000002
5901100771,良佑藥局,02 -25916402,台北市中山區撫順街6－2號1樓,121.52156699999999,25.063669
5901100799,立大藥局,02 -25313844,台北市中山區吉林路144巷14號,121.529578,25.055984
5901100959,武璋大藥局,02 -25072026,台北市中山區伊通街97號之2,121.534894,25.053175
5901101072,長青藥局,02 -25053160,台北市中山區興安街55號1樓,121.54188700000002,25.056207
5901112600,匯安藥局,02 -26579255,台北市內湖區內湖路1段703之1號,121.57741999999999,25.079636999999998
5901112682,富康東湖藥局,02 -26323222,台北市內湖區東湖路119巷49弄16號,121.617002,25.069879
5901112726,高昱藥局,02 -87519962,台北市內湖區陽光街321巷26號2樓之15,121.57861299999999,25.072363
5901112762,樂活藥師藥局,02 -27968052,台北市內湖區內湖路2段368號,121.590978,25.082302
5901112780,樂康藥妝藥局,02 -26562110,台北市內湖區文德路117號,121.584052,25.078704000000002
5901112824,思恩藥局,02 -27965808,台北市內湖區成功路4段61巷26號,121.593226,25.081205999999998
5901112842,早安元氣藥局,02 -27925994,台北市內湖區成功路4段53號1樓,121.59208400000001,25.081666000000002
5901112860,展恩藥局,02 -27953041,台北市內湖區民權東路6段136巷4號,121.587698,25.068664000000002
5901112879,壹零捌藥局,02 -27910061,台北市內湖區成功路4段344號,121.59963799999998,25.084879
5901112977,瑞光藥局,02 -87513365,台北市內湖區瑞光路212號,121.57627,25.075249
5901150600,環安藥局,02 -28828478,台北市士林區大南路244號1樓,121.520536,25.088601
5901150682,加赫藥局,02 -28336362,台北市士林區文昌路76號,121.52121499999998,25.096463
5901150762,麗森藥局,02 -28714152,台北市士林區天母西路51號,121.52693500000001,25.118543
5901150771,天母大和藥師藥局,02 -28310142,台北市士林區德行東路189－1號1樓,121.53166499999999,25.108967
5901150815,陽明藥局,02 -28612863,台北市士林區菁山路10號1樓,121.546925,25.137985999999998
5901151956,康鈺藥局,02 -28313915,台北市士林區德行東路133號1樓,121.52921,25.108088000000002
5901152024,今欣藥局,02 -28713129,台北市士林區天母西路41巷9號1樓,121.527376,25.119313000000002
5901152051,士新藥局,02 -28331332,台北市士林區文昌路62號,121.52137900000001,25.096049
5901152079,資生堂藥局,02 -28857588,台北市士林區承德路4段40巷17號1Ｆ,121.52202199999999,25.081072
5901152122,社子全民藥局,02 -28127412,台北市士林區延平北路5段120號,121.51056499999999,25.081694
5901152131,康華藥局,02 -28743223,台北市士林區中山北路7段14巷2號2樓,121.53107299999999,25.118636
5901152186,詠恩藥局,02 -28119479,台北市士林區延平北路5段316號1樓,121.509575,25.086192999999998
