醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,396,189,2020/02/10 18:00:38
0291010010,404,124,2020/02/10 18:00:38
2331170017,200,50,2020/02/10 18:00:38
2331240014,0,150,2020/02/10 18:00:38
2331260016,0,40,2020/02/10 18:00:38
2331290014,0,8,2020/02/10 18:00:38
2333070010,0,18,2020/02/10 18:00:38
2333120015,1,118,2020/02/10 18:00:38
2333140017,131,78,2020/02/10 18:00:38
2334110013,0,94,2020/02/10 18:00:38
2335110017,10,52,2020/02/10 18:00:38
2335150011,0,2,2020/02/10 18:00:38
2335170013,0,52,2020/02/10 18:00:38
2335180019,220,160,2020/02/10 18:00:38
2336210034,130,112,2020/02/10 18:00:38
2337050014,200,50,2020/02/10 18:00:38
2337160015,200,50,2020/02/10 18:00:38
2338070010,0,54,2020/02/10 18:00:38
2338120015,0,68,2020/02/10 18:00:38
2340170016,0,18,2020/02/10 18:00:38
2341140012,400,100,2020/02/10 18:00:38
2341250013,0,160,2020/02/10 18:00:38
2341300018,22,170,2020/02/10 18:00:38
2342130010,20,152,2020/02/10 18:00:38
2342180010,0,12,2020/02/10 18:00:38
2342250017,438,152,2020/02/10 18:00:38
2342260013,630,190,2020/02/10 18:00:38
2342270019,246,50,2020/02/10 18:00:38
2343220013,200,50,2020/02/10 18:00:38
2343240015,24,54,2020/02/10 18:00:38
2343260017,638,192,2020/02/10 18:00:38
2343270013,966,269,2020/02/10 18:00:38
2343280019,30,80,2020/02/10 18:00:38
2343290015,654,194,2020/02/10 18:00:38
2343300016,714,204,2020/02/10 18:00:38
2343320018,634,192,2020/02/10 18:00:38
2343330014,452,148,2020/02/10 18:00:38
2344011036,160,134,2020/02/10 18:00:38
2344030013,10,40,2020/02/10 18:00:38
2344030022,192,136,2020/02/10 18:00:38
2344030031,284,150,2020/02/10 18:00:38
2344050015,60,196,2020/02/10 18:00:38
2344050024,500,208,2020/02/10 18:00:38
2344060011,0,128,2020/02/10 18:00:38
2345100014,0,72,2020/02/10 18:00:38
2345110010,1,0,2020/02/10 18:00:38
2345120016,46,131,2020/02/10 18:00:38
2345130012,62,63,2020/02/10 18:00:38
2346050013,8,62,2020/02/10 18:00:38
2346070015,5,112,2020/02/10 18:00:38
2346110014,0,96,2020/02/10 18:00:38
2346120010,327,130,2020/02/10 18:00:38
2346130016,0,50,2020/02/10 18:00:38
2346140012,540,184,2020/02/10 18:00:38
2346150018,496,144,2020/02/10 18:00:38
2346160014,634,206,2020/02/10 18:00:38
2390040518,0,10,2020/02/10 18:00:38
2390050032,0,32,2020/02/10 18:00:38
2391020010,308,146,2020/02/10 18:00:38
2391030016,800,222,2020/02/10 18:00:38
2391030026,743,230,2020/02/10 18:00:38
2391040012,584,223,2020/02/10 18:00:38
5901010058,0,38,2020/02/10 18:00:38
5901010076,0,1,2020/02/10 18:00:38
5901010085,0,2,2020/02/10 18:00:38
5901010094,7,32,2020/02/10 18:00:38
5901010165,0,24,2020/02/10 18:00:38
5901010174,4,17,2020/02/10 18:00:38
5901010192,0,4,2020/02/10 18:00:38
5901010272,0,4,2020/02/10 18:00:38
5901010290,0,10,2020/02/10 18:00:38
5901010496,6,30,2020/02/10 18:00:38
5901011662,0,98,2020/02/10 18:00:38
5901011699,0,34,2020/02/10 18:00:38
5901011733,20,64,2020/02/10 18:00:38
5901011760,0,84,2020/02/10 18:00:38
5901011975,6,30,2020/02/10 18:00:38
5901012203,2,46,2020/02/10 18:00:38
5901012383,0,72,2020/02/10 18:00:38
5901012409,4,22,2020/02/10 18:00:38
5901012454,4,50,2020/02/10 18:00:38
5901012490,0,29,2020/02/10 18:00:38
5901012507,0,14,2020/02/10 18:00:38
5901012516,0,36,2020/02/10 18:00:38
5901012561,0,50,2020/02/10 18:00:38
5901012570,0,32,2020/02/10 18:00:38
5901012598,8,8,2020/02/10 18:00:38
5901012632,0,37,2020/02/10 18:00:38
5901012650,0,38,2020/02/10 18:00:38
5901012669,2,104,2020/02/10 18:00:38
5901012712,0,22,2020/02/10 18:00:38
5901012749,0,60,2020/02/10 18:00:38
5901012758,0,56,2020/02/10 18:00:38
5901012767,0,22,2020/02/10 18:00:38
5901012963,0,6,2020/02/10 18:00:38
5901013004,0,70,2020/02/10 18:00:38
5901013095,6,30,2020/02/10 18:00:38
5901013120,9,35,2020/02/10 18:00:38
5901013139,0,23,2020/02/10 18:00:38
5901013148,2,0,2020/02/10 18:00:38
5901013157,0,30,2020/02/10 18:00:38
5901013200,0,20,2020/02/10 18:00:38
5901013246,0,44,2020/02/10 18:00:38
5901013264,6,84,2020/02/10 18:00:38
5901013308,48,28,2020/02/10 18:00:38
5901013326,2,18,2020/02/10 18:00:38
5901013344,0,36,2020/02/10 18:00:38
5901013362,6,12,2020/02/10 18:00:38
5901013371,0,88,2020/02/10 18:00:38
5901013380,0,18,2020/02/10 18:00:38
5901013399,102,44,2020/02/10 18:00:38
5901013406,0,44,2020/02/10 18:00:38
5901013433,0,8,2020/02/10 18:00:38
5901013442,200,136,2020/02/10 18:00:38
5901013451,0,72,2020/02/10 18:00:38
5901013460,0,12,2020/02/10 18:00:38
5901013488,40,94,2020/02/10 18:00:38
5901013497,14,40,2020/02/10 18:00:38
5901013513,38,26,2020/02/10 18:00:38
5901013522,4,6,2020/02/10 18:00:38
5901020296,0,94,2020/02/10 18:00:38
5901020303,4,26,2020/02/10 18:00:38
5901020376,12,32,2020/02/10 18:00:38
5901020465,0,26,2020/02/10 18:00:38
5901020554,0,28,2020/02/10 18:00:38
5901020590,0,6,2020/02/10 18:00:38
5901020616,0,34,2020/02/10 18:00:38
5901020634,4,56,2020/02/10 18:00:38
5901020652,0,34,2020/02/10 18:00:38
5901020661,0,28,2020/02/10 18:00:38
5901020670,0,123,2020/02/10 18:00:38
5901020689,72,88,2020/02/10 18:00:38
5901020698,0,50,2020/02/10 18:00:38
5901020732,0,40,2020/02/10 18:00:38
5901020787,0,24,2020/02/10 18:00:38
5901020858,0,22,2020/02/10 18:00:38
5901020876,0,10,2020/02/10 18:00:38
5901020901,4,136,2020/02/10 18:00:38
5901021248,0,2,2020/02/10 18:00:38
5901021346,0,34,2020/02/10 18:00:38
5901021382,0,16,2020/02/10 18:00:38
5901021408,202,116,2020/02/10 18:00:38
5901022521,0,28,2020/02/10 18:00:38
5901022601,4,32,2020/02/10 18:00:38
5901022898,0,30,2020/02/10 18:00:38
5901023073,0,70,2020/02/10 18:00:38
5901023091,250,186,2020/02/10 18:00:38
5901023153,2,104,2020/02/10 18:00:38
5901023215,0,116,2020/02/10 18:00:38
5901023304,12,4,2020/02/10 18:00:38
5901023313,11,56,2020/02/10 18:00:38
5901023331,0,112,2020/02/10 18:00:38
5901023386,12,54,2020/02/10 18:00:38
5901023411,0,18,2020/02/10 18:00:38
5901023519,0,52,2020/02/10 18:00:38
5901023523,0,40,2020/02/10 18:00:38
5901023591,0,68,2020/02/10 18:00:38
5901023653,4,31,2020/02/10 18:00:38
5901023680,24,60,2020/02/10 18:00:38
5901023706,4,80,2020/02/10 18:00:38
5901023724,2,14,2020/02/10 18:00:38
5901023831,0,36,2020/02/10 18:00:38
5901023886,60,18,2020/02/10 18:00:38
5901023902,0,36,2020/02/10 18:00:38
5901023966,0,20,2020/02/10 18:00:38
5901024098,0,28,2020/02/10 18:00:38
5901024114,12,0,2020/02/10 18:00:38
5901024123,2,20,2020/02/10 18:00:38
5901024178,0,8,2020/02/10 18:00:38
5901024212,0,69,2020/02/10 18:00:38
5901024221,0,70,2020/02/10 18:00:38
5901024310,0,22,2020/02/10 18:00:38
5901024347,0,16,2020/02/10 18:00:38
5901024472,0,14,2020/02/10 18:00:38
5901024490,0,6,2020/02/10 18:00:38
5901024525,0,30,2020/02/10 18:00:38
5901024543,2,30,2020/02/10 18:00:38
5901024632,10,68,2020/02/10 18:00:38
5901024669,2,80,2020/02/10 18:00:38
5901024678,0,22,2020/02/10 18:00:38
5901024687,0,7,2020/02/10 18:00:38
5901024696,198,70,2020/02/10 18:00:38
5901024703,0,46,2020/02/10 18:00:38
5901024721,0,12,2020/02/10 18:00:38
5901024758,98,25,2020/02/10 18:00:38
5901024767,0,36,2020/02/10 18:00:38
5901024810,26,16,2020/02/10 18:00:38
5901024838,4,46,2020/02/10 18:00:38
5901024856,86,32,2020/02/10 18:00:38
5901024865,0,94,2020/02/10 18:00:38
5901024874,10,16,2020/02/10 18:00:38
5901024883,0,8,2020/02/10 18:00:38
5901024892,0,34,2020/02/10 18:00:38
5901024909,2,44,2020/02/10 18:00:38
5901024918,8,10,2020/02/10 18:00:38
5901024927,200,50,2020/02/10 18:00:38
5901090074,0,34,2020/02/10 18:00:38
5901090127,0,22,2020/02/10 18:00:38
5901090154,0,14,2020/02/10 18:00:38
5901090181,0,8,2020/02/10 18:00:38
5901090216,2,82,2020/02/10 18:00:38
5901090243,4,47,2020/02/10 18:00:38
5901090323,0,24,2020/02/10 18:00:38
5901091473,2,12,2020/02/10 18:00:38
5901091544,0,6,2020/02/10 18:00:38
5901091688,4,24,2020/02/10 18:00:38
5901091759,4,4,2020/02/10 18:00:38
5901091839,0,14,2020/02/10 18:00:38
5901091857,0,4,2020/02/10 18:00:38
5901091884,0,26,2020/02/10 18:00:38
5901091973,0,72,2020/02/10 18:00:38
5901091991,0,8,2020/02/10 18:00:38
5901092014,0,4,2020/02/10 18:00:38
5901092041,0,24,2020/02/10 18:00:38
5901092050,0,16,2020/02/10 18:00:38
5901092069,0,42,2020/02/10 18:00:38
5901092078,6,34,2020/02/10 18:00:38
5901100057,0,10,2020/02/10 18:00:38
5901100066,190,70,2020/02/10 18:00:38
5901100155,0,120,2020/02/10 18:00:38
5901100244,0,26,2020/02/10 18:00:38
5901100333,38,54,2020/02/10 18:00:38
5901100342,8,68,2020/02/10 18:00:38
5901100422,4,0,2020/02/10 18:00:38
5901100431,196,74,2020/02/10 18:00:38
5901100440,132,58,2020/02/10 18:00:38
5901100495,0,22,2020/02/10 18:00:38
5901100628,0,28,2020/02/10 18:00:38
5901100664,14,78,2020/02/10 18:00:38
5901100717,0,78,2020/02/10 18:00:38
5901100771,0,56,2020/02/10 18:00:38
5901100799,0,76,2020/02/10 18:00:38
5901100959,1,47,2020/02/10 18:00:38
5901101161,0,18,2020/02/10 18:00:38
5901101250,0,26,2020/02/10 18:00:38
5901101321,2,106,2020/02/10 18:00:38
5901101509,0,28,2020/02/10 18:00:38
5901101536,0,2,2020/02/10 18:00:38
5901101607,0,62,2020/02/10 18:00:38
5901101625,2,32,2020/02/10 18:00:38
5901101652,0,70,2020/02/10 18:00:38
5901101910,0,38,2020/02/10 18:00:38
5901101992,0,66,2020/02/10 18:00:38
5901102015,0,48,2020/02/10 18:00:38
5901102060,2,28,2020/02/10 18:00:38
5901102417,2,28,2020/02/10 18:00:38
5901102444,0,42,2020/02/10 18:00:38
5901102560,0,18,2020/02/10 18:00:38
5901102579,0,50,2020/02/10 18:00:38
5901102597,12,86,2020/02/10 18:00:38
5901102631,0,38,2020/02/10 18:00:38
5901102677,0,38,2020/02/10 18:00:38
5901102686,0,50,2020/02/10 18:00:38
5901102748,0,42,2020/02/10 18:00:38
5901102828,0,36,2020/02/10 18:00:38
5901102837,0,64,2020/02/10 18:00:38
5901102855,0,36,2020/02/10 18:00:38
5901102873,0,12,2020/02/10 18:00:38
5901102962,0,59,2020/02/10 18:00:38
5901102971,0,2,2020/02/10 18:00:38
5901103030,1,48,2020/02/10 18:00:38
5901103110,0,12,2020/02/10 18:00:38
5901103147,4,74,2020/02/10 18:00:38
5901103183,2,28,2020/02/10 18:00:38
5901103192,0,64,2020/02/10 18:00:38
5901103209,6,68,2020/02/10 18:00:38
5901103227,2,0,2020/02/10 18:00:38
5901103236,8,48,2020/02/10 18:00:38
5901103272,0,48,2020/02/10 18:00:38
5901103325,26,70,2020/02/10 18:00:38
5901103334,0,36,2020/02/10 18:00:38
5901103343,96,32,2020/02/10 18:00:38
5901103352,0,33,2020/02/10 18:00:38
5901103405,0,32,2020/02/10 18:00:38
5901103414,0,50,2020/02/10 18:00:38
5901103423,81,66,2020/02/10 18:00:38
5901103450,0,82,2020/02/10 18:00:38
5901103469,0,66,2020/02/10 18:00:38
5901103487,8,16,2020/02/10 18:00:38
5901103496,4,38,2020/02/10 18:00:38
5901103512,0,18,2020/02/10 18:00:38
5901103521,1,99,2020/02/10 18:00:38
5901103530,0,22,2020/02/10 18:00:38
5901103549,0,32,2020/02/10 18:00:38
5901103558,0,14,2020/02/10 18:00:38
5901103576,10,14,2020/02/10 18:00:38
5901103585,54,30,2020/02/10 18:00:38
5901110080,0,86,2020/02/10 18:00:38
5901110268,0,10,2020/02/10 18:00:38
5901110302,2,26,2020/02/10 18:00:38
5901110311,0,28,2020/02/10 18:00:38
5901110393,0,12,2020/02/10 18:00:38
5901110446,0,14,2020/02/10 18:00:38
5901110624,0,14,2020/02/10 18:00:38
5901111890,6,12,2020/02/10 18:00:38
5901112100,190,82,2020/02/10 18:00:38
5901112351,40,0,2020/02/10 18:00:38
5901112413,0,36,2020/02/10 18:00:38
5901112600,0,36,2020/02/10 18:00:38
5901112682,2,8,2020/02/10 18:00:38
5901112726,0,18,2020/02/10 18:00:38
5901112762,5,10,2020/02/10 18:00:38
5901112780,8,24,2020/02/10 18:00:38
5901112824,24,14,2020/02/10 18:00:38
5901112842,5,32,2020/02/10 18:00:38
5901112860,16,4,2020/02/10 18:00:38
5901112879,0,1,2020/02/10 18:00:38
5901112995,0,30,2020/02/10 18:00:38
5901113018,0,20,2020/02/10 18:00:38
5901113027,0,54,2020/02/10 18:00:38
5901113081,0,32,2020/02/10 18:00:38
5901113143,7,46,2020/02/10 18:00:38
5901113198,0,22,2020/02/10 18:00:38
5901113223,0,6,2020/02/10 18:00:38
5901113250,0,50,2020/02/10 18:00:38
5901113296,2,8,2020/02/10 18:00:38
5901113312,10,0,2020/02/10 18:00:38
5901113330,0,64,2020/02/10 18:00:38
5901113349,0,28,2020/02/10 18:00:38
5901113367,0,16,2020/02/10 18:00:38
5901113376,0,66,2020/02/10 18:00:38
5901113385,0,34,2020/02/10 18:00:38
5901113394,0,4,2020/02/10 18:00:38
5901113438,0,52,2020/02/10 18:00:38
5901113456,4,0,2020/02/10 18:00:38
5901113509,2,0,2020/02/10 18:00:38
5901113527,0,22,2020/02/10 18:00:38
5901113545,6,28,2020/02/10 18:00:38
5901113554,104,22,2020/02/10 18:00:38
5901113563,0,20,2020/02/10 18:00:38
5901120022,9,10,2020/02/10 18:00:38
5901120139,0,76,2020/02/10 18:00:38
5901120175,0,16,2020/02/10 18:00:38
5901120184,196,108,2020/02/10 18:00:38
5901121421,10,82,2020/02/10 18:00:38
5901121449,1,45,2020/02/10 18:00:38
5901121501,6,26,2020/02/10 18:00:38
5901121574,30,66,2020/02/10 18:00:38
5901121583,4,8,2020/02/10 18:00:38
5901121592,0,32,2020/02/10 18:00:38
5901121618,0,42,2020/02/10 18:00:38
5901121627,12,24,2020/02/10 18:00:38
5901121672,86,24,2020/02/10 18:00:38
5901121725,6,8,2020/02/10 18:00:38
5901121798,0,44,2020/02/10 18:00:38
