id,inst_id,get
A10166,5912012022,2020-02-05 17:58:50
F10705,5912013421,2020-02-06 14:6:50
W10295,5912013207,2020-02-05 14:19:43
H10386,5912042459,2020-02-03 16:49:37
L10867,5912012988,2020-02-02 15:55:5
Q10171,5912042717,2020-02-02 17:40:5
B10748,5912051412,2020-02-06 10:43:34
D10104,5912051412,2020-02-03 18:32:27
Z10453,5912040035,2020-02-02 14:12:20
S10924,5912012569,2020-02-07 13:47:41
Z10285,5912010322,2020-02-07 13:20:54
Z10773,5912010779,2020-02-04 16:52:27
S10422,5912012620,2020-02-07 17:39:18
F10596,5912013207,2020-02-02 17:50:8
N10213,5912013252,2020-02-03 16:14:53
D10963,5912040080,2020-02-08 16:30:16
E10825,5912012291,2020-02-07 11:40:15
C10962,5912010313,2020-02-07 15:41:32
S10130,5912013234,2020-02-07 10:1:13
X10656,5912010046,2020-02-06 14:18:16
C10751,5912013225,2020-02-05 16:16:4
I10345,5912010313,2020-02-04 17:1:37
Y10786,5912013378,2020-02-05 15:5:21
S10374,5912013341,2020-02-02 17:56:55
C10014,5912042098,2020-02-02 12:50:37
Q10629,5912012737,2020-02-04 10:48:42
F10216,5912012077,2020-02-02 18:11:34
Z10412,5912013083,2020-02-05 10:52:30
K10330,5912010779,2020-02-06 11:56:23
T10160,5912012291,2020-02-07 15:43:32
H10216,5912012933,2020-02-03 13:41:17
U10922,5912012942,2020-02-03 14:38:46
O10407,5912013092,2020-02-05 15:49:24
C10089,5912042235,2020-02-05 14:11:18
H10196,5912013225,2020-02-05 15:55:29
D10235,5912041827,2020-02-07 14:49:29
X10968,5912050040,2020-02-02 12:6:33
G10680,5912012569,2020-02-03 11:20:51
V10069,5912042235,2020-02-02 17:39:55
E10474,5912012933,2020-02-08 16:33:34
M10244,5912010724,2020-02-03 17:56:0
T10513,5912042155,2020-02-08 17:30:13
F10899,5912012620,2020-02-04 14:54:54
R10164,5912013216,2020-02-05 12:20:34
R10469,5912042735,2020-02-02 13:49:26
O10775,5912013092,2020-02-07 18:50:40
G10689,5912040106,2020-02-08 17:51:1
Z10687,5912010331,2020-02-06 17:58:15
T10270,5912012942,2020-02-03 10:52:47
I10123,5912042664,2020-02-07 14:20:52
L10296,2312041028,2020-02-07 11:48:23
M10793,5912013378,2020-02-03 10:24:7
P10498,5912010484,2020-02-08 13:22:41
C10561,5912012120,2020-02-03 14:5:57
Q10037,5912010484,2020-02-08 12:19:10
S10680,2312050018,2020-02-08 15:6:4
W10740,5912042404,2020-02-02 17:4:11
P10188,5912042664,2020-02-05 12:56:37
Z10440,5912013252,2020-02-05 12:43:22
W10807,5912051403,2020-02-06 17:24:21
W10244,5912010779,2020-02-08 12:22:0
G10281,5912012139,2020-02-02 18:5:18
E10251,5912010484,2020-02-07 17:54:4
F10812,5912010206,2020-02-07 16:54:45
K10991,5912010215,2020-02-07 12:29:1
U10771,5912013350,2020-02-08 17:0:45
H10623,5912051350,2020-02-02 12:42:57
F10528,5912012666,2020-02-06 11:17:26
K10764,5912013083,2020-02-03 10:44:52
N10689,5912040106,2020-02-04 16:22:11
P10829,5912040491,2020-02-08 14:57:29
O10989,5912051403,2020-02-08 13:2:34
L10204,5912013225,2020-02-03 12:26:9
U10111,5912051412,2020-02-08 15:8:47
K10584,5912010528,2020-02-07 18:11:16
T10534,5912013163,2020-02-03 11:48:18
E10608,5912040553,2020-02-04 14:11:20
V10377,5912013225,2020-02-05 15:30:13
L10570,5912012308,2020-02-08 10:34:31
I10075,5912041881,2020-02-05 16:50:14
G10860,5912012077,2020-02-08 13:54:45
U10132,5912012022,2020-02-07 14:2:16
U10851,5912012979,2020-02-06 18:3:30
D10756,5912013421,2020-02-07 12:49:8
G10826,5912012148,2020-02-03 13:11:7
N10523,5912042664,2020-02-07 15:25:20
S10483,5912013163,2020-02-06 14:5:5
F10112,5912040106,2020-02-03 16:4:40
N10256,5912013234,2020-02-06 10:38:21
Y10635,5912042744,2020-02-03 18:27:40
Q10262,5912040106,2020-02-06 12:1:31
A10062,5912012120,2020-02-02 17:56:17
H10617,5912013421,2020-02-06 14:16:10
Y10223,5912042404,2020-02-05 13:0:19
B10315,5912040080,2020-02-07 10:14:7
D10433,5912013350,2020-02-03 12:3:3
D10534,5912012942,2020-02-03 11:37:11
L10189,5912012942,2020-02-06 16:39:15
I10124,5912012666,2020-02-05 17:10:14
