areaDesc,effective,severity_level,instruction
日本,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
新加坡,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
法國,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
德國,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
西班牙,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
捷克,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
愛沙尼亞,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
芬蘭,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
希臘,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
匈牙利,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
拉脫維亞,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
列支敦斯登,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
立陶宛,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
盧森堡,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬爾他,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
波蘭,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
葡萄牙,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
愛爾蘭共和國,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
斯洛伐克,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
斯洛維尼亞,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
英國,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
奧地利,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
巴林王國,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
比利時,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
丹麥,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
冰島,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
科威特,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷蘭,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
挪威,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
瑞典,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
瑞士,2020-03-11 08:00:00,第二級:警示(Alert),對當地採取加強防護
泰國,2020-03-11 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
香港特別行政區,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
伊朗,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
義大利,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
韓國,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
澳門特別行政區,2020-03-01 08:00:00,第三級:警告(Warning),避免至當地所有非必要旅遊
安哥拉,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
安吉拉(英國海外領地),2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
安地卡及巴布達,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
阿根廷,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬阿魯巴,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
巴貝多,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
貝里斯,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬波奈,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
英屬維京群島,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
柬埔寨,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
古巴,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬古拉索,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
多米尼克,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
格瑞那達,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
幾內亞比索,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
印度,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
馬爾地夫,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
蒙哲臘(英國海外領地),2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
緬甸,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
菲律賓,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬沙巴(與荷屬波奈為同行政區),2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
聖克里斯多福及尼維斯,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
聖露西亞,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
法屬聖馬丁,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
聖文森及格瑞那丁,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
薩摩亞,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
新加坡,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬聖佑達修斯(與荷屬波奈為同行政區),2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
索羅門群島,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
荷屬聖馬丁,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
泰國,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
東加王國,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
千里達及托巴哥,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
英屬土克凱可群島,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
美屬維京群島,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
越南,2019-12-16 08:00:00,第二級:警示(Alert),對當地採取加強防護
美屬薩摩亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴哈馬,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
孟加拉,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
玻利維亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴西,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
布吉納法索,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
蒲隆地,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
維德角,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
開曼群島(英國海外領地),2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中非共和國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
哥倫比亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
庫克群島,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
哥斯大黎加,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
象牙海岸,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
多明尼加,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
智利復活島,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
厄瓜多,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
薩爾瓦多,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
衣索比亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法屬圭亞那,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法屬玻里尼西亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
加彭,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法屬瓜地洛普島,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
瓜地馬拉,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
蓋亞那共和國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
海地,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
宏都拉斯,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
印尼,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
牙買加,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
寮國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬來西亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
馬紹爾群島共和國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法屬馬丁尼克島,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
墨西哥,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
新喀里多尼亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
尼加拉瓜,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
奈及利亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
帛琉,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴拿馬共和國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴布亞紐幾內亞,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
巴拉圭共和國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
秘魯,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
美屬波多黎各,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
喀麥隆,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
斐濟,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
塞內加爾,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
法屬聖巴瑟米,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
蘇利南,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
密克羅尼西亞聯邦,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
烏干達,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
美國,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
萬那杜,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
委內瑞拉,2019-12-16 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2019-12-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
印度,2019-12-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
尼泊爾,2019-12-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
阿曼,2019-12-12 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
柬埔寨,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
中國大陸,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
印度,2019-11-06 08:00:00,第一級:注意(Watch),提醒遵守當地的一般預防措施
