Province/State,Country/Region
Anhui,Mainland China
Beijing,Mainland China
Chongqing,Mainland China
Fujian,Mainland China
Gansu,Mainland China
Guangdong,Mainland China
Guangxi,Mainland China
Guizhou,Mainland China
Hainan,Mainland China
Hebei,Mainland China
Heilongjiang,Mainland China
Henan,Mainland China
Hubei,Mainland China
Hunan,Mainland China
Inner Mongolia,Mainland China
Jiangsu,Mainland China
Jiangxi,Mainland China
Jilin,Mainland China
Liaoning,Mainland China
Ningxia,Mainland China
Qinghai,Mainland China
Shaanxi,Mainland China
Shandong,Mainland China
Shanghai,Mainland China
Shanxi,Mainland China
Sichuan,Mainland China
Tianjin,Mainland China
Tibet,Mainland China
Xinjiang,Mainland China
Yunnan,Mainland China
Zhejiang,Mainland China
,Thailand
,Japan
,South Korea
Taiwan,Taiwan
"Seattle, WA",US
"Chicago, IL",US
"Tempe, AZ",US
Macau,Macau
Hong Kong,Hong Kong
,Singapore
,Vietnam
,France
,Nepal
,Malaysia
"Toronto, ON",Canada
British Columbia,Canada
"Orange, CA",US
"Los Angeles, CA",US
New South Wales,Australia
Victoria,Australia
Queensland,Australia
,Cambodia
,Sri Lanka
,Germany
,Finland
,United Arab Emirates
,Philippines
,India
"London, ON",Canada
,Italy
,UK
,Russia
,Sweden
"Santa Clara, CA",US
,Spain
South Australia,Australia
"Boston, MA",US
"San Benito, CA",US
,Belgium
"Madison, WI",US
Diamond Princess cruise ship,Others
"San Diego County, CA",US
"San Antonio, TX",US
,Egypt
,Iran
